Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Polk County,117.7,0.1663 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Not Polk,123.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Not Polk,122.8,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Not Polk,63.1,0.0316 ,1,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Not Polk,51.3,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Breast,Not Polk,50.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Not Polk,123.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Not Polk,122,0.9594 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Not Polk,119.1,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Not Polk,67.6,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Breast,Not Polk,59.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Not Polk,132.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Not Polk,111.4,0.0584 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Not Polk,128.5,0.9827 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Not Polk,89.9,0.0002 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Breast,Not Polk,68.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Not Polk,138.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Not Polk,126.2,0.2246 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Not Polk,125.7,0.6736 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Not Polk,99.6,0.0003 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Breast,Not Polk,65.7,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Polk County,122.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Polk County,240.3,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Polk County,81.8,0.9131 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Polk County,108.2,0.7536 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Polk County,169,0.2121 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Polk County,125.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Polk County,189.1,0.0038 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Polk County,152.1,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Polk County,56.9,0.0690 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Polk County,53.4,0.0026 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Polk County,97.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Polk County,199.4,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Polk County,171.3,0.7034 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Polk County,59.5,0.0777 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Polk County,62.7,0.0968 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Polk County,107.6,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Polk County,240.4,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Polk County,74.6,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Polk County,67.7,0.0564 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Polk County,80.5,0.1279 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Not Polk,145,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Not Polk,216.7,0.0001 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Not Polk,132,0.8974 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Not Polk,101.4,0.1063 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Prostate,Not Polk,77.2,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Not Polk,127.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Not Polk,181.3,0.0003 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Not Polk,150.4,0.7131 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Not Polk,85.4,0.0503 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Prostate,Not Polk,71.8,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Not Polk,111.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Not Polk,176.7,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Not Polk,114.2,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Not Polk,28.3,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Prostate,Not Polk,73,0.0001 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Not Polk,129.9,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Not Polk,221.1,0.0000 ,1,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Not Polk,123,0.8836 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Not Polk,51.1,0.0000 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Prostate,Not Polk,68.1,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,11.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,10.1,0.8298 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,16.2,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,4.7,0.3072 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,6.4,0.4816 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,17.1,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,18.7,0.9286 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,33.4,0.8048 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,2.5,0.3167 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,10.6,0.7780 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,7.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,2.1,0.3165 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,6.7,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,2.7,0.7352 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,12.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,7.9,0.3436 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,5.5,0.2224 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,4.3,0.1203 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,18,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,13.3,0.6572 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,8.9,0.5301 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,6.9,0.3129 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,7.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,3,0.4123 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,2.7,0.6592 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,2.1,0.4892 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Polk County,12.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Polk County,9.5,0.5314 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Polk County,42.3,0.5105 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Polk County,14.1,0.8649 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Polk County,2.8,0.0194 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Polk County,20.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Polk County,12.4,0.3533 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Polk County,114.2,0.3257 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Polk County,20.7,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Polk County,0.6,0.0139 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Polk County,5.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Polk County,5.7,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Polk County,9.1,0.7080 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Female,Oral Cavity and Pharynx,Polk County,5.1,1.0000 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Polk County,15.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Polk County,16.6,0.8402 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Polk County,0,0.9382 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Polk County,16.3,0.9244 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Both,Oral Cavity and Pharynx,Polk County,11.1,0.4538 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Polk County,24.7,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Polk County,27.7,0.8593 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Polk County,23.4,1.0000 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Male,Oral Cavity and Pharynx,Polk County,8.6,0.0407 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Polk County,7.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Polk County,8.5,0.8907 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Polk County,0,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Polk County,11.4,0.4672 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2018-2022,Female,Oral Cavity and Pharynx,Polk County,13.2,0.4393 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,11.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,14.6,0.3054 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,5.7,0.6930 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,6.7,0.3747 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,3.8,0.0056 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,17.3,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,23.8,0.3079 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,6.1,0.7453 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,13.4,0.7922 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,5.8,0.0223 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,6.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,6.4,1.0000 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,5.4,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,2.5,0.5909 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,1.7,0.1352 ,0,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,12.2,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,9,0.2233 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,14.9,0.8129 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,4.1,0.0108 ,1,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,2.9,0.0000 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,18.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,11.3,0.0757 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,20.4,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,7.8,0.1256 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,4.2,0.0001 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Not Polk,6.5,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Not Polk,5.3,0.8076 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Not Polk,9.2,1.0000 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Not Polk,1.3,0.1753 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2008-2012,Female,Oral Cavity and Pharynx,Not Polk,1.6,0.0147 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Not Polk,13.8,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Not Polk,10.4,0.1958 ,0,Black
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Not Polk,7.9,0.4869 ,0,Indigenous
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Not Polk,11.3,0.5010 ,0,API
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Both,Oral Cavity and Pharynx,Not Polk,8,0.0127 ,1,Hispanic
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Not Polk,20.4,,0,White
"Within Counties, by race/ethnicity",Other Iowa Counties,2013-2017,Male,Oral Cavity and Pharynx,Not Polk,16,0.3832 ,0,Black
